rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
4,JUGHELI Ahed,SYR,"Oct 10, 1982",104.50,A,-190,191,-196,191,109kgMen,CleanJerk,445,False
1,MOHAMED Gaber Ahmed Farhan,EGY,"Sep 01, 1985",107.05,A,170,207,377,,109kgMen,Total,445,False
2,BACHA Aymen,TUN,"Oct 26, 1999",107.25,A,166,195,361,,109kgMen,Total,445,False
3,NGADJA NYABEYEU Junior Periclex,CMR,"Jun 16, 1993",102.35,A,151,196,347,,109kgMen,Total,445,False
4,JUGHELI Ahed,SYR,"Oct 10, 1982",104.50,A,155,191,346,,109kgMen,Total,445,False
1,ASAAD Man,SYR,"Nov 20, 1993",141.02,A,180,185,188,188,+109kgMen,Snatch,445,False
2,AHMED Mohamed Abdelhamed,EGY,"Jan 01, 1996",137.00,A,170,181,186,186,+109kgMen,Snatch,445,False
1,AHMED Mohamed Abdelhamed,EGY,"Jan 01, 1996",137.00,A,226,-235,-236,226,+109kgMen,CleanJerk,445,False
2,ASAAD Man,SYR,"Nov 20, 1993",141.02,A,-220,226,-237,226,+109kgMen,CleanJerk,445,False
1,ASAAD Man,SYR,"Nov 20, 1993",141.02,A,188,226,414,,+109kgMen,Total,445,False
2,AHMED Mohamed Abdelhamed,EGY,"Jan 01, 1996",137.00,A,186,226,412,,+109kgMen,Total,445,False
1,RANDAFIARISON Rosina,MAD,"Dec 29, 1999",43.80,A,-60,60,-65,60,45kgWomen,Snatch,445,False
2,AKTHER Srity,BAN,"Dec 07, 1994",45.00,A,50,55,-60,55,45kgWomen,Snatch,445,False
1,RANDAFIARISON Rosina,MAD,"Dec 29, 1999",43.80,A,75,80,-85,80,45kgWomen,CleanJerk,445,False
2,AKTHER Srity,BAN,"Dec 07, 1994",45.00,A,61,65,68,68,45kgWomen,CleanJerk,445,False
1,RANDAFIARISON Rosina,MAD,"Dec 29, 1999",43.80,A,60,80,140,,45kgWomen,Total,445,False
2,AKTHER Srity,BAN,"Dec 07, 1994",45.00,A,55,68,123,,45kgWomen,Total,445,False
1,ERDOGAN Saziye,TUR,"Feb 23, 1992",48.40,A,73,76,-79,76,49kgWomen,Snatch,445,False
2,BAYAV Pelinsu,TUR,"Aug 03, 2001",48.45,A,65,68,72,72,49kgWomen,Snatch,445,False
3,AHMED Heba Saleh Mahmoud,EGY,"Jul 03, 1996",48.95,A,67,-70,-70,67,49kgWomen,Snatch,445,False
4,BEN ISSA Yossra,TUN,"Sep 16, 2001",47.90,A,53,-58,-58,53,49kgWomen,Snatch,445,False
5,AREF Khawla Mohammad Abdulla M,UAE,"Oct 08, 1999",49.00,A,25,-27,27,27,49kgWomen,Snatch,445,False
1,ERDOGAN Saziye,TUR,"Feb 23, 1992",48.40,A,93,-95,95,95,49kgWomen,CleanJerk,445,False
2,BAYAV Pelinsu,TUR,"Aug 03, 2001",48.45,A,85,88,92,92,49kgWomen,CleanJerk,445,False
3,AHMED Heba Saleh Mahmoud,EGY,"Jul 03, 1996",48.95,A,83,91,-93,91,49kgWomen,CleanJerk,445,False
4,BEN ISSA Yossra,TUN,"Sep 16, 2001",47.90,A,66,69,72,72,49kgWomen,CleanJerk,445,False
5,AREF Khawla Mohammad Abdulla M,UAE,"Oct 08, 1999",49.00,A,35,-37,-37,35,49kgWomen,CleanJerk,445,False
1,ERDOGAN Saziye,TUR,"Feb 23, 1992",48.40,A,76,95,171,,49kgWomen,Total,445,False
2,BAYAV Pelinsu,TUR,"Aug 03, 2001",48.45,A,72,92,164,,49kgWomen,Total,445,False
3,AHMED Heba Saleh Mahmoud,EGY,"Jul 03, 1996",48.95,A,67,91,158,,49kgWomen,Total,445,False
4,BEN ISSA Yossra,TUN,"Sep 16, 2001",47.90,A,53,72,125,,49kgWomen,Total,445,False
5,AREF Khawla Mohammad Abdulla M,UAE,"Oct 08, 1999",49.00,A,27,35,62,,49kgWomen,Total,445,False
1,NABIEVA Muattar,UZB,"Jun 02, 1996",54.95,A,83,87,90,90,55kgWomen,Snatch,445,False
