rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,SALIMIKORDASIABI Behdad,IRI,"Dec 08, 1989",165.00,A,241,250,---,250,+105kgMen,CleanJerk,142,True
2,ALI Mhd,SYR,"Oct 03, 1982",116.80,A,210,217,222,222,+105kgMen,CleanJerk,142,True
3,MOULAEI Bahador,IRI,"Mar 21, 1992",119.40,A,210,217,222,222,+105kgMen,CleanJerk,142,True
4,OTA Kazuomi,JPN,"Jul 01, 1986",145.90,A,205,213,-221,213,+105kgMen,CleanJerk,142,True
---,SUN Hai Bo,CHN,"Mar 25, 1983",146.00,A,-240,-241,-241,---,+105kgMen,CleanJerk,142,True
1,SALIMIKORDASIABI Behdad,IRI,"Dec 08, 1989",165.00,A,208,250,458,,+105kgMen,Total,142,True
2,MOULAEI Bahador,IRI,"Mar 21, 1992",119.40,A,176,222,398,,+105kgMen,Total,142,True
3,ALI Mhd,SYR,"Oct 03, 1982",116.80,A,171,222,393,,+105kgMen,Total,142,True
4,OTA Kazuomi,JPN,"Jul 01, 1986",145.90,A,180,213,393,,+105kgMen,Total,142,True
---,SUN Hai Bo,CHN,"Mar 25, 1983",146.00,A,200,---,---,,+105kgMen,Total,142,True
1,TIAN Yuan,CHN,"Jan 29, 1993",47.74,A,88,93,-96,93,48kgWomen,Snatch,142,True
2,TOGOEVA Makhliyo,UZB,"Jan 07, 1992",47.32,A,62,65,68,68,48kgWomen,Snatch,142,True
3,WEN Shih-Ping,TPE,"Oct 20, 1986",47.46,A,65,68,-70,68,48kgWomen,Snatch,142,True
4,KHUMUKCHAM Sanjita Chanu,IND,"Jan 02, 1994",47.56,A,65,68,-70,68,48kgWomen,Snatch,142,True
5,SISOEVA Marina,UZB,"May 30, 1993",46.70,A,61,64,66,66,48kgWomen,Snatch,142,True
1,TIAN Yuan,CHN,"Jan 29, 1993",47.74,A,113,-122,-122,113,48kgWomen,CleanJerk,142,True
2,WEN Shih-Ping,TPE,"Oct 20, 1986",47.46,A,85,89,90,90,48kgWomen,CleanJerk,142,True
3,KHUMUKCHAM Sanjita Chanu,IND,"Jan 02, 1994",47.56,A,85,89,90,90,48kgWomen,CleanJerk,142,True
4,SISOEVA Marina,UZB,"May 30, 1993",46.70,A,82,86,-92,86,48kgWomen,CleanJerk,142,True
5,TOGOEVA Makhliyo,UZB,"Jan 07, 1992",47.32,A,78,82,-85,82,48kgWomen,CleanJerk,142,True
1,TIAN Yuan,CHN,"Jan 29, 1993",47.74,A,93,113,206,,48kgWomen,Total,142,True
2,WEN Shih-Ping,TPE,"Oct 20, 1986",47.46,A,68,90,158,,48kgWomen,Total,142,True
3,KHUMUKCHAM Sanjita Chanu,IND,"Jan 02, 1994",47.56,A,68,90,158,,48kgWomen,Total,142,True
4,SISOEVA Marina,UZB,"May 30, 1993",46.70,A,66,86,152,,48kgWomen,Total,142,True
5,TOGOEVA Makhliyo,UZB,"Jan 07, 1992",47.32,A,68,82,150,,48kgWomen,Total,142,True
1,LI Ping,CHN,"Sep 15, 1988",52.96,A,90,-95,-95,90,53kgWomen,Snatch,142,True
2,YU Weili,HKG,"Jun 24, 1983",52.72,A,85,-90,-90,85,53kgWomen,Snatch,142,True
3,MATSA Santoshi,IND,"Mar 10, 1994",51.42,A,-65,-65,70,70,53kgWomen,Snatch,142,True
4,CHAKMA Fullapati,BAN,"Jun 05, 1996",51.04,A,58,-62,-62,58,53kgWomen,Snatch,142,True
1,LI Ping,CHN,"Sep 15, 1988",52.96,A,120,125,-128,125,53kgWomen,CleanJerk,142,True
2,YU Weili,HKG,"Jun 24, 1983",52.72,A,105,110,-113,110,53kgWomen,CleanJerk,142,True
3,MATSA Santoshi,IND,"Mar 10, 1994",51.42,A,83,88,-92,88,53kgWomen,CleanJerk,142,True
4,CHAKMA Fullapati,BAN,"Jun 05, 1996",51.04,A,70,75,-78,75,53kgWomen,CleanJerk,142,True
1,LI Ping,CHN,"Sep 15, 1988",52.96,A,90,125,215,,53kgWomen,Total,142,True
2,YU Weili,HKG,"Jun 24, 1983",52.72,A,85,110,195,,53kgWomen,Total,142,True
3,MATSA Santoshi,IND,"Mar 10, 1994",51.42,A,70,88,158,,53kgWomen,Total,142,True
4,CHAKMA Fullapati,BAN,"Jun 05, 1996",51.04,A,58,75,133,,53kgWomen,Total,142,True
1,LI Xueying,CHN,"May 15, 1990",57.86,A,95,-105,107,107,58kgWomen,Snatch,142,True
2,JONG Chun Mi,PRK,"Mar 15, 1985",57.90,A,-92,-92,92,92,58kgWomen,Snatch,142,True
3,PRACHAMORN Chomchailai,THA,"Jan 01, 1989",55.10,A,-90,-90,90,90,58kgWomen,Snatch,142,True
4,KOSTENKO Tatyana,KAZ,"Jun 09, 1988",57.54,A,82,87,-91,87,58kgWomen,Snatch,142,True
5,VINOGRADOVA Svetlana,KAZ,"Nov 21, 1987",56.78,A,82,86,-90,86,58kgWomen,Snatch,142,True
6,GONGOR Otgontuya,MGL,"Jan 09, 1991",57.98,A,-84,84,-87,84,58kgWomen,Snatch,142,True
7,SHOUGRAKPAM Chandreshori Devi,IND,"Mar 01, 1980",57.68,A,-75,75,80,80,58kgWomen,Snatch,142,True
8,YOUM Ok-Jin,KOR,"Jan 01, 1982",57.92,A,-77,-77,77,77,58kgWomen,Snatch,142,True
9,MAMASALIEVA Manzurakhon,UZB,"Jan 16, 1991",57.34,A,72,-76,-76,72,58kgWomen,Snatch,142,True
1,JONG Chun Mi,PRK,"Mar 15, 1985",57.90,A,-123,123,130,130,58kgWomen,CleanJerk,142,True
2,LI Xueying,CHN,"May 15, 1990",57.86,A,128,-131,-131,128,58kgWomen,CleanJerk,142,True
3,PRACHAMORN Chomchailai,THA,"Jan 01, 1989",55.10,A,-112,112,117,117,58kgWomen,CleanJerk,142,True
4,KOSTENKO Tatyana,KAZ,"Jun 09, 1988",57.54,A,110,116,-121,116,58kgWomen,CleanJerk,142,True
5,VINOGRADOVA Svetlana,KAZ,"Nov 21, 1987",56.78,A,105,110,-115,110,58kgWomen,CleanJerk,142,True
6,GONGOR Otgontuya,MGL,"Jan 09, 1991",57.98,A,-102,102,107,107,58kgWomen,CleanJerk,142,True
7,YOUM Ok-Jin,KOR,"Jan 01, 1982",57.92,A,-98,-98,105,105,58kgWomen,CleanJerk,142,True
8,SHOUGRAKPAM Chandreshori Devi,IND,"Mar 01, 1980",57.68,A,-95,-95,98,98,58kgWomen,CleanJerk,142,True
---,MAMASALIEVA Manzurakhon,UZB,"Jan 16, 1991",57.34,A,-92,-92,-92,---,58kgWomen,CleanJerk,142,True
1,LI Xueying,CHN,"May 15, 1990",57.86,A,107,128,235,,58kgWomen,Total,142,True
